url,id,title,date,section,method_queries,in_training,word_count
https://www.theguardian.com/books/2025/jul/15/toni-at-random-by-dana-a-williams-review-the-editorial-years-of-a-literary-great,books/2025/jul/15/toni-at-random-by-dana-a-williams-review-the-editorial-years-of-a-literary-great,Toni at Random by Dana A Williams review – Toni Morrison’s editing years,2025-07-15T06:00:51Z,Books,casestudy,yes,1239
https://www.theguardian.com/australia-news/live/2025/aug/06/australia-news-live-albanese-macron-gaza-palestine-queensland-teachers-strike-esafety-apple-youtube-google-nsw-victoria-labor-coalition-ntwnfb,australia-news/live/2025/aug/06/australia-news-live-albanese-macron-gaza-palestine-queensland-teachers-strike-esafety-apple-youtube-google-nsw-victoria-labor-coalition-ntwnfb,ASIC close to approving rival exchange for ASX – as it happened,2025-08-06T08:33:12Z,Australia news,casestudy,yes,11390
https://www.theguardian.com/commentisfree/2025/feb/15/our-inhumane-jails-are-promoting-a-vicious-cycle-that-is-criminal-in-itself,commentisfree/2025/feb/15/our-inhumane-jails-are-promoting-a-vicious-cycle-that-is-criminal-in-itself,Our inhumane jails are promoting a vicious cycle that is criminal in itself  | Martha Gill,2025-02-15T19:30:45Z,Opinion,casestudy,yes,995
https://www.theguardian.com/stage/2024/dec/11/jamie-foxx-what-had-happened-was-netflix-review,stage/2024/dec/11/jamie-foxx-what-had-happened-was-netflix-review,Jamie Foxx: What Had Happened Was ... review – a star is born again,2024-12-11T12:43:05Z,Stage,casestudy,yes,369
https://www.theguardian.com/business/2024/sep/24/minister-naming-and-shaming-tulip-siddiq-financial-conduct-authority,business/2024/sep/24/minister-naming-and-shaming-tulip-siddiq-financial-conduct-authority,Minister urges UK financial regulator to rethink ‘naming and shaming’ plan,2024-09-24T15:16:11Z,Business,casestudy,yes,528
https://www.theguardian.com/environment/2025/apr/25/public-affairs-firms-in-europe-enable-pollution-by-lobbying-for-big-oil-says-analysis,environment/2025/apr/25/public-affairs-firms-in-europe-enable-pollution-by-lobbying-for-big-oil-says-analysis,"Public affairs firms in Europe enable pollution by lobbying for big oil, says analysis",2025-04-25T04:00:25Z,Environment,casestudy,yes,1126
https://www.theguardian.com/society/2024/apr/19/unpaid-carers-not-claiming-allowance-benefit,society/2024/apr/19/unpaid-carers-not-claiming-allowance-benefit,"Half a million unpaid carers in UK not claiming £4,200 a year benefit",2024-04-19T06:00:06Z,Society,casestudy,yes,981
https://www.theguardian.com/australia-news/article/2024/may/22/medical-cannabis-driving-trial-australia-dui-roadside-drug-impairment-test,australia-news/article/2024/may/22/medical-cannabis-driving-trial-australia-dui-roadside-drug-impairment-test,Medical cannabis: cross-party committee says Australia needs new roadside impairment test,2024-05-22T08:05:46Z,Australia news,casestudy,yes,669
https://www.theguardian.com/books/article/2024/sep/04/on-leadership-by-tony-blair-working-to-rule,books/article/2024/sep/04/on-leadership-by-tony-blair-working-to-rule,On Leadership by Tony Blair – working to rule,2024-09-04T08:00:34Z,Books,casestudy,yes,1081
https://www.theguardian.com/environment/2024/feb/12/england-brings-in-biodiversity-net-gain-rules-to-force-builders-to-compensate-for-loss-of-nature,environment/2024/feb/12/england-brings-in-biodiversity-net-gain-rules-to-force-builders-to-compensate-for-loss-of-nature,England brings in biodiversity rules to force builders to compensate for loss of nature,2024-02-12T00:01:25Z,Environment,casestudy,yes,888
https://www.theguardian.com/world/article/2024/may/21/first-edition-iran-ebrahim-raisi,world/article/2024/may/21/first-edition-iran-ebrahim-raisi,Tuesday briefing: What the death of Ebrahim Raisi means for Iran’s political future,2024-05-21T05:44:41Z,World news,casestudy,yes,2466
https://www.theguardian.com/artanddesign/2025/jun/27/solar-power-kangaroo-point-bridge-leads-winners-as-queensland-architecture-awards-put-spotlight-on-sustainability,artanddesign/2025/jun/27/solar-power-kangaroo-point-bridge-leads-winners-as-queensland-architecture-awards-put-spotlight-on-sustainability,Solar power: Kangaroo Point Bridge leads winners as Queensland architecture awards put spotlight on sustainability,2025-06-27T12:00:55Z,Art and design,casestudy,yes,902
https://www.theguardian.com/commentisfree/2025/apr/12/make-america-make-again-trumps-tariffs-will-only-be-manufacturing-pipe-dreams,commentisfree/2025/apr/12/make-america-make-again-trumps-tariffs-will-only-be-manufacturing-pipe-dreams,Make America make again? Trump’s tariffs will only be manufacturing pipe dreams | John Naughton,2025-04-12T15:00:49Z,Opinion,casestudy,yes,853
https://www.theguardian.com/football/2025/apr/29/quiet-rise-of-rookies-shows-benefit-nwsl-decision-ditch-draft,football/2025/apr/29/quiet-rise-of-rookies-shows-benefit-nwsl-decision-ditch-draft,Quiet rise of rookies shows benefit of NWSL’s bold decision to ditch draft,2025-04-29T11:25:44Z,Football,casestudy,yes,853
https://www.theguardian.com/us-news/2024/nov/07/4b-movement-trump-women,us-news/2024/nov/07/4b-movement-trump-women,‘No man will touch me until I have my rights back’: why is the 4B movement going viral after Trump’s win?,2024-11-07T19:04:15Z,US news,casestudy,yes,1271
https://www.theguardian.com/australia-news/live/2024/nov/14/australia-news-high-court-immigration-detainees-jobs-figures-anthony-albanese-peter-dutton-labor-coalition-interest-rates-michele-bullock,australia-news/live/2024/nov/14/australia-news-high-court-immigration-detainees-jobs-figures-anthony-albanese-peter-dutton-labor-coalition-interest-rates-michele-bullock,Police make arrest and seize water pistol after incident outside NSW parliament – as it happened,2024-11-14T06:53:56Z,Australia news,"casestudy,expert_qual",yes,10701
https://www.theguardian.com/books/2025/feb/19/your-life-is-manufactured-by-tim-minshall-review-object-lessons,books/2025/feb/19/your-life-is-manufactured-by-tim-minshall-review-object-lessons,Your Life Is Manufactured by Tim Minshall review – object lessons,2025-02-19T09:00:29Z,Books,casestudy,yes,878
https://www.theguardian.com/australia-news/live/2025/feb/06/australia-politics-news-live-labor-anti-hate-speech-laws-mandatory-sentences-federal-election-campaign-anthony-albanese-peter-dutton-ntwnfb,australia-news/live/2025/feb/06/australia-politics-news-live-labor-anti-hate-speech-laws-mandatory-sentences-federal-election-campaign-anthony-albanese-peter-dutton-ntwnfb,AFP boss questioned about PM’s knowledge of Dural caravan – as it happened,2025-02-06T06:39:20Z,Australia news,casestudy,yes,10659
https://www.theguardian.com/commentisfree/2025/may/06/debate-pedestrianising-oxford-street-banning-cars-sadiq-khan,commentisfree/2025/may/06/debate-pedestrianising-oxford-street-banning-cars-sadiq-khan,Banning cars in city centres has worked around the world. Why isn’t London’s Oxford Street pedestrianised yet? | Phineas Harper,2025-05-06T07:00:02Z,Opinion,casestudy,yes,928
https://www.theguardian.com/politics/live/2024/dec/19/keir-starmer-questions-liaison-committee-donald-trump-administration-uk-politics-latest-updates,politics/live/2024/dec/19/keir-starmer-questions-liaison-committee-donald-trump-administration-uk-politics-latest-updates,Starmer claims he cannot think of anything he should have done differently in first months as PM – as it happened,2024-12-19T17:40:47Z,Politics,casestudy,yes,7677
https://www.theguardian.com/science/article/2024/jun/20/global-emergency-preparation-food-storage-grain,science/article/2024/jun/20/global-emergency-preparation-food-storage-grain,Economist suggests storing grain to prepare for next global emergency,2024-06-20T09:00:35Z,Science,casestudy,yes,1026
https://www.theguardian.com/australia-news/article/2024/aug/15/landmark-report-on-murdered-indigenous-women-condemned-as-weak-and-toothless,australia-news/article/2024/aug/15/landmark-report-on-murdered-indigenous-women-condemned-as-weak-and-toothless,Landmark report on murdered Indigenous women condemned as ‘weak’ and ‘toothless’,2024-08-15T15:00:15Z,Australia news,casestudy,yes,946
https://www.theguardian.com/us-news/2025/mar/24/eggs-inflation-american-culture,us-news/2025/mar/24/eggs-inflation-american-culture,Shell-shocked! Why eggs – and their rising price – are an American obsession,2025-03-24T11:00:04Z,US news,casestudy,yes,1033
https://www.theguardian.com/commentisfree/2025/aug/16/gen-z-ai-technology-hope-panel,commentisfree/2025/aug/16/gen-z-ai-technology-hope-panel,We are gen Z – and AI is our future. Will that be good or bad?,2025-08-16T06:00:53Z,Opinion,casestudy,yes,1989
https://www.theguardian.com/books/2025/jun/29/madison-griffiths-sweet-nothings-teacher-university-student-relationships-dating-sex-ntwnfb,books/2025/jun/29/madison-griffiths-sweet-nothings-teacher-university-student-relationships-dating-sex-ntwnfb,"At 21, Madison Griffiths dated her university tutor. It was legal, consensual – and a messy grey area",2025-06-28T20:00:34Z,Books,casestudy,yes,1579
https://www.theguardian.com/books/2024/apr/02/does-counter-terrorism-work-by-richard-english-review-a-thoughtful-and-authoritative-analysis,books/2024/apr/02/does-counter-terrorism-work-by-richard-english-review-a-thoughtful-and-authoritative-analysis,Does Counter-Terrorism Work? by Richard English review – a thoughtful and authoritative analysis,2024-04-02T08:00:31Z,Books,casestudy,yes,921
https://www.theguardian.com/media/2024/jul/08/greg-philo-obituary,media/2024/jul/08/greg-philo-obituary,Greg Philo obituary,2024-07-08T16:59:28Z,Media,casestudy,yes,991
https://www.theguardian.com/society/2024/mar/29/financial-abuse-can-follow-victims-long-after-relationships-end-australian-experts-are-calling-for-reform,society/2024/mar/29/financial-abuse-can-follow-victims-long-after-relationships-end-australian-experts-are-calling-for-reform,Financial abuse can follow victims long after relationships end. Australian experts are calling for reform,2024-03-28T14:00:10Z,Society,casestudy,yes,1268
