article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
44,australia-news/article/2024/aug/15/landmark-report-on-murdered-indigenous-women-condemned-as-weak-and-toothless,https://www.theguardian.com/australia-news/article/2024/aug/15/landmark-report-on-murdered-indigenous-women-condemned-as-weak-and-toothless,Landmark report on murdered Indigenous women condemned as ‘weak’ and ‘toothless’,yes,0.7236,0.2255
45,us-news/2025/mar/24/eggs-inflation-american-culture,https://www.theguardian.com/us-news/2025/mar/24/eggs-inflation-american-culture,Shell-shocked! Why eggs – and their rising price – are an American obsession,yes,0.655,0.0842
46,society/2024/mar/29/financial-abuse-can-follow-victims-long-after-relationships-end-australian-experts-are-calling-for-reform,https://www.theguardian.com/society/2024/mar/29/financial-abuse-can-follow-victims-long-after-relationships-end-australian-experts-are-calling-for-reform,Financial abuse can follow victims long after relationships end. Australian experts are calling for reform,yes,0.3884,0.1946
47,australia-news/article/2024/sep/11/queensland-children-police-watch-houses-watchdog-report,https://www.theguardian.com/australia-news/article/2024/sep/11/queensland-children-police-watch-houses-watchdog-report,"Sick and suicidal children held in Queensland police watch houses for weeks without healthcare, watchdog reveals",yes,0.4171,0.27
48,science/2025/may/19/junk-science-vaccine-refusers-and-the-return-of-smallpox-what-worries-one-of-australias-top-epidemiologists,https://www.theguardian.com/science/2025/may/19/junk-science-vaccine-refusers-and-the-return-of-smallpox-what-worries-one-of-australias-top-epidemiologists,"Junk science, vaccine refusers and the return of smallpox: what worries one of Australia’s top epidemiologists",yes,0.9513,0.3846
49,world/2024/oct/31/thursday-briefing-what-you-need-to-know-about-rachel-reevess-plans-for-the-economy,https://www.theguardian.com/world/2024/oct/31/thursday-briefing-what-you-need-to-know-about-rachel-reevess-plans-for-the-economy,Thursday briefing: What you need to know about Rachel Reeves’s plans for the economy,yes,0.4295,0.3734
50,society/2024/mar/31/why-the-tavistock-gender-identity-clinic-was-forced-to-shut-and-what-happens-next,https://www.theguardian.com/society/2024/mar/31/why-the-tavistock-gender-identity-clinic-was-forced-to-shut-and-what-happens-next,Why the Tavistock gender identity clinic was forced to shut ... and what happens next,yes,0.8976,0.3986
51,australia-news/article/2024/jul/24/queensland-failed-to-act-on-report-into-devastating-experiences-of-people-with-disability-in-justice-system,https://www.theguardian.com/australia-news/article/2024/jul/24/queensland-failed-to-act-on-report-into-devastating-experiences-of-people-with-disability-in-justice-system,Queensland failed to act on report into ‘devastating’ experiences of people with disability in justice system,yes,0.6042,0.5725
52,technology/2025/mar/22/we-need-to-set-the-terms-or-were-all-screwed-how-newsrooms-are-tackling-ais-uncertainties-and-opportunities,https://www.theguardian.com/technology/2025/mar/22/we-need-to-set-the-terms-or-were-all-screwed-how-newsrooms-are-tackling-ais-uncertainties-and-opportunities,‘We need to set the terms or we’re all screwed’: how newsrooms are tackling AI’s uncertainties and opportunities,yes,0.2765,0.1384
53,global-development/2025/mar/02/this-will-cost-lives-cuts-to-uk-aid-budget-condemned-as-betrayal-by-international-development-groups,https://www.theguardian.com/global-development/2025/mar/02/this-will-cost-lives-cuts-to-uk-aid-budget-condemned-as-betrayal-by-international-development-groups,‘This will cost lives’: cuts to UK aid budget condemned as ‘betrayal’ by international development groups,yes,0.2774,0.1064
